Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year,,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange
57,0.062,0.117,0.008,0.01,0.034,0.043,0.565,0.019,0.142,0,smoothed,2009,,0.0062,0.0117,0.0008,0.001,0.0034,0.0043,0.0565,0.0019,0.0142,0
58,0.063,0.119,0.009,0.007,0.031,0.05,0.56,0.021,0.139,0,smoothed,2009,,0.0063,0.0119,0.0009,0.0007,0.0031,0.005,0.056,0.0021,0.0139,0
59,0.056,0.117,0.009,0.006,0.029,0.047,0.582,0.02,0.134,0,smoothed,2009,,0.0056,0.0117,0.0009,0.0006,0.0029,0.0047,0.0582,0.002,0.0134,0
60,0.051,0.113,0.011,0.005,0.033,0.049,0.579,0.02,0.139,0,smoothed,2009,,0.0051,0.0113,0.0011,0.0005,0.0033,0.0049,0.0579,0.002,0.0139,0
61,0.047,0.12,0.011,0.006,0.031,0.045,0.587,0.019,0.133,0,smoothed,2009,,0.0047,0.012,0.0011,0.0006,0.0031,0.0045,0.0587,0.0019,0.0133,0
62,0.045,0.12,0.011,0.007,0.032,0.05,0.59,0.017,0.13,0,smoothed,2009,,0.0045,0.012,0.0011,0.0007,0.0032,0.005,0.059,0.0017,0.013,0
63,0.04,0.115,0.009,0.007,0.038,0.046,0.608,0.015,0.122,0,smoothed,2009,,0.004,0.0115,0.0009,0.0007,0.0038,0.0046,0.0608,0.0015,0.0122,0
64,0.037,0.112,0.006,0.006,0.039,0.049,0.603,0.015,0.132,0,smoothed,2009,,0.0037,0.0112,0.0006,0.0006,0.0039,0.0049,0.0603,0.0015,0.0132,0
65,0.037,0.114,0.007,0.005,0.036,0.051,0.599,0.016,0.135,0,smoothed,2009,,0.0037,0.0114,0.0007,0.0005,0.0036,0.0051,0.0599,0.0016,0.0135,0
66,0.039,0.112,0.007,0.003,0.027,0.055,0.613,0.016,0.129,0,smoothed,2009,,0.0039,0.0112,0.0007,0.0003,0.0027,0.0055,0.0613,0.0016,0.0129,0
67,0.036,0.107,0.007,0.005,0.027,0.053,0.629,0.015,0.121,0,smoothed,2009,,0.0036,0.0107,0.0007,0.0005,0.0027,0.0053,0.0629,0.0015,0.0121,0
68,0.033,0.101,0.006,0.005,0.03,0.046,0.661,0.015,0.105,0,smoothed,2009,,0.0033,0.0101,0.0006,0.0005,0.003,0.0046,0.0661,0.0015,0.0105,0
69,0.029,0.101,0.004,0.006,0.029,0.042,0.658,0.018,0.113,0,smoothed,2009,,0.0029,0.0101,0.0004,0.0006,0.0029,0.0042,0.0658,0.0018,0.0113,0
70,0.031,0.1,0.004,0.004,0.029,0.042,0.662,0.017,0.11,0,smoothed,2009,,0.0031,0.01,0.0004,0.0004,0.0029,0.0042,0.0662,0.0017,0.011,0
71,0.037,0.103,0.006,0.004,0.025,0.049,0.646,0.017,0.113,0,smoothed,2009,,0.0037,0.0103,0.0006,0.0004,0.0025,0.0049,0.0646,0.0017,0.0113,0
72,0.042,0.108,0.009,0.003,0.029,0.048,0.639,0.015,0.107,0,smoothed,2009,,0.0042,0.0108,0.0009,0.0003,0.0029,0.0048,0.0639,0.0015,0.0107,0
73,0.038,0.105,0.009,0.003,0.028,0.052,0.649,0.013,0.103,0,smoothed,2009,,0.0038,0.0105,0.0009,0.0003,0.0028,0.0052,0.0649,0.0013,0.0103,0
74,0.034,0.101,0.007,0.004,0.032,0.051,0.66,0.011,0.099,0,smoothed,2009,,0.0034,0.0101,0.0007,0.0004,0.0032,0.0051,0.066,0.0011,0.0099,0
75,0.029,0.095,0.005,0.004,0.03,0.057,0.672,0.013,0.095,0,smoothed,2009,,0.0029,0.0095,0.0005,0.0004,0.003,0.0057,0.0672,0.0013,0.0095,0
76,0.033,0.091,0.007,0.004,0.032,0.053,0.677,0.013,0.09,0,smoothed,2009,,0.0033,0.0091,0.0007,0.0004,0.0032,0.0053,0.0677,0.0013,0.009,0
77,0.029,0.089,0.008,0.004,0.035,0.053,0.677,0.013,0.092,0,smoothed,2009,,0.0029,0.0089,0.0008,0.0004,0.0035,0.0053,0.0677,0.0013,0.0092,0
78,0.028,0.087,0.009,0.003,0.035,0.048,0.691,0.012,0.088,0,smoothed,2009,,0.0028,0.0087,0.0009,0.0003,0.0035,0.0048,0.0691,0.0012,0.0088,0
79,0.029,0.092,0.007,0.002,0.042,0.05,0.674,0.012,0.091,0,smoothed,2009,,0.0029,0.0092,0.0007,0.0002,0.0042,0.005,0.0674,0.0012,0.0091,0
80,0.029,0.096,0.005,0.002,0.038,0.049,0.678,0.013,0.089,0,smoothed,2009,,0.0029,0.0096,0.0005,0.0002,0.0038,0.0049,0.0678,0.0013,0.0089,0
81,0.025,0.099,0.005,0.003,0.037,0.056,0.673,0.013,0.089,0,smoothed,2009,,0.0025,0.0099,0.0005,0.0003,0.0037,0.0056,0.0673,0.0013,0.0089,0
82,0.016,0.101,0.006,0.002,0.03,0.057,0.689,0.012,0.086,0,smoothed,2009,,0.0016,0.0101,0.0006,0.0002,0.003,0.0057,0.0689,0.0012,0.0086,0
83,0.02,0.093,0.007,0.003,0.033,0.063,0.681,0.013,0.088,0,smoothed,2009,,0.002,0.0093,0.0007,0.0003,0.0033,0.0063,0.0681,0.0013,0.0088,0
84,0.023,0.097,0.007,0.003,0.037,0.056,0.683,0.015,0.078,0,smoothed,2009,,0.0023,0.0097,0.0007,0.0003,0.0037,0.0056,0.0683,0.0015,0.0078,0
85,0.027,0.09,0.006,0.003,0.034,0.057,0.696,0.017,0.071,0,smoothed,2009,,0.0027,0.009,0.0006,0.0003,0.0034,0.0057,0.0696,0.0017,0.0071,0
