Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
71,0.0076,0.0292,0.001,0.0002,0.006,0.0086,0.1356,0,0.0094,0.0022,smoothed,2020
72,0.0068,0.0278,0.0012,0.0006,0.0044,0.009,0.14,0,0.0082,0.002,smoothed,2020
73,0.007,0.0282,0.001,0.0006,0.0038,0.0092,0.1384,0.0002,0.0092,0.0026,smoothed,2020
74,0.0062,0.0292,0.001,0.0006,0.004,0.0086,0.14,0.0002,0.0082,0.0024,smoothed,2020
75,0.0064,0.0292,0.0008,0.0002,0.005,0.0082,0.1386,0.0002,0.0094,0.0024,smoothed,2020
76,0.0054,0.0282,0.0008,0.0004,0.0056,0.0076,0.143,0,0.0072,0.0018,smoothed,2020
77,0.0056,0.0286,0.0006,0.0002,0.0054,0.007,0.1442,0,0.007,0.0014,smoothed,2020
78,0.0048,0.0306,0.0008,0.0004,0.0052,0.0066,0.1442,0,0.0062,0.0014,smoothed,2020
79,0.0056,0.0304,0.001,0.0004,0.0058,0.006,0.1426,0,0.0072,0.0012,smoothed,2020
80,0.0058,0.0296,0.0012,0.0004,0.0066,0.0066,0.141,0,0.007,0.0018,smoothed,2020
81,0.0058,0.03,0.001,0.0002,0.0056,0.006,0.1428,0,0.0064,0.002,smoothed,2020
82,0.0058,0.0312,0.0008,0.0002,0.0054,0.0068,0.142,0,0.0056,0.002,smoothed,2020
83,0.0056,0.03,0.0008,0.0002,0.004,0.0068,0.1452,0,0.0058,0.0018,smoothed,2020
84,0.0058,0.0282,0.0008,0.0002,0.0048,0.0068,0.1452,0,0.0062,0.002,smoothed,2020
85,0.0046,0.0274,0.001,0.0002,0.0036,0.0058,0.1492,0,0.0062,0.0016,smoothed,2020
86,0.0036,0.0288,0.001,0.0002,0.0048,0.006,0.1482,0.0002,0.0056,0.0016,smoothed,2020
87,0.0034,0.0294,0.001,0.0002,0.005,0.0074,0.1464,0.0002,0.006,0.0012,smoothed,2020
88,0.0036,0.0294,0.001,0.0002,0.0052,0.0082,0.1446,0.0002,0.0064,0.0014,smoothed,2020
89,0.0044,0.0298,0.001,0.0002,0.0054,0.0086,0.1426,0,0.0062,0.0016,smoothed,2020
90,0.0046,0.0302,0.001,0.0002,0.0064,0.0076,0.1438,0,0.0046,0.0016,smoothed,2020
91,0.0044,0.0304,0.0008,0.0002,0.0072,0.008,0.1436,0,0.004,0.0014,smoothed,2020
92,0.0036,0.0286,0.0008,0.0002,0.0064,0.0076,0.1474,0,0.0036,0.0014,smoothed,2020
93,0.0034,0.0292,0.0008,0.0004,0.0058,0.0076,0.1476,0.0002,0.0044,0.001,smoothed,2020
94,0.0036,0.028,0.0008,0.0004,0.0054,0.0072,0.1484,0.0002,0.0044,0.0014,smoothed,2020
95,0.0034,0.0304,0.0004,0.0002,0.0058,0.0082,0.1452,0.0002,0.005,0.0012,smoothed,2020
96,0.0028,0.0308,0.0006,0.0002,0.005,0.0084,0.146,0,0.0046,0.0014,smoothed,2020
97,0.003,0.0338,0.0008,0.0002,0.004,0.0088,0.1436,0,0.0048,0.001,smoothed,2020
98,0.003,0.0316,0.0008,0.0004,0.0034,0.0092,0.1456,0,0.0046,0.0012,smoothed,2020
99,0.003,0.0292,0.0004,0.0006,0.0034,0.0108,0.1456,0,0.0052,0.0014,smoothed,2020
100,0.0028,0.026,0.0002,0.0006,0.0038,0.0118,0.1484,0,0.0048,0.0014,smoothed,2020
